election_id,metric,value
municipal_2023_mayor,input_poll_rows,1545
municipal_2023_mayor,mapped_vote_rows,1351
municipal_2023_mayor,no_geometry_vote_rows,100
municipal_2023_mayor,missing_votes_excluded_rows,94
municipal_2023_mayor,votes_exceed_electors_rows,0
municipal_2023_mayor,invalid_poll_geometries_repaired,4
municipal_2023_mayor,invalid_district_geometries_repaired,0
municipal_2023_mayor,poll_area_fallback_rows,1
municipal_2023_mayor,excluded_or_unallocated_rows,94
provincial_2025,input_poll_rows,1532
provincial_2025,mapped_vote_rows,1388
provincial_2025,no_geometry_vote_rows,144
provincial_2025,missing_votes_excluded_rows,0
provincial_2025,votes_exceed_electors_rows,1
provincial_2025,invalid_poll_geometries_repaired,10
provincial_2025,invalid_district_geometries_repaired,0
provincial_2025,poll_area_fallback_rows,2
provincial_2025,excluded_or_unallocated_rows,0
federal_2025,input_poll_rows,5069
federal_2025,mapped_vote_rows,4273
federal_2025,no_geometry_vote_rows,414
federal_2025,missing_votes_excluded_rows,382
federal_2025,votes_exceed_electors_rows,27
federal_2025,invalid_poll_geometries_repaired,107
federal_2025,invalid_district_geometries_repaired,0
federal_2025,poll_area_fallback_rows,0
federal_2025,excluded_or_unallocated_rows,382
